id,name,teacherName,schoolName,enrollCount,startTime,endTime,currentTermId,type,channelId
1470407184,蔬菜栽培学,师恺,浙江大学,57,1772762400000,1784302200000,1476741541,306,3003
1205999804,中国传统文化选讲,魏黎波,燕山大学,115,1772503200000,1778857200000,1476729545,306,3005
1456162166,果树栽培学总论,赵彩平,西北农林科技大学,68,1772762400000,1782833400000,1476732545,306,3003
1453208205,普通心理学,范文翼,滨州医学院,448,1772589600000,1784129400000,1476728530,306,3007
1002820007,人体结构功能与健康,张晓明,浙江大学,98,1772672400000,1783697400000,1476729540,306,3008
1207046801,Single Variable Calculus,张莹,西北工业大学,10,1772503200000,1782833400000,1476735551,306,3003
1450725232,科技葡萄牙语,祝明姗,北京交通大学,7,1772589600000,1784129400000,1476752539,306,108001
1205772806,通用学术英语进阶,张敬源,北京科技大学,946,1772503200000,1782055800000,1476744528,306,2002
1002534008,中国文化英语讲,马新,东北大学,23,1772503200000,1782833400000,1476748539,306,2002
1473663163,基础韩语I,吴仙花,复旦大学,550,1772589600000,1781969400000,1476751526,306,108001
1466020167,大学英语技能—口语,邱瑜毅,浙江财经大学,7,1772676000000,1782660600000,1476755542,306,108001
1206146808,深度学习应用开发-TensorFlow实践,吴明晖,浙大城市学院,45,1772433000000,1782833400000,1476750535,306,3002
1003542001,创新创业管理,孟凡臣,北京理工大学,38,1772676000000,1780241400000,1476753527,306,56001
1206873802,大学化学,贺欢,北京理工大学,28,1772438400000,1783265400000,1476734518,306,3003
1206610804,家庭社会工作,银平均,江西财经大学,40,1772589600000,1783697400000,1476755531,306,3005
1205935801,看不见的影响力：社会心理学,程玲,华中师范大学,47,1772676000000,1783524600000,1476742516,306,3005
1205915814,生理学（上）,王世强,北京大学,77,1772762400000,1782315000000,1476727519,306,3003
1471291161,水污染控制工程,吴小宁,西安工业大学,33,1772589600000,1784129400000,1476756509,306,3003
1457864177,物理化学实验,田福平,大连理工大学,13,1772762400000,1782833400000,1476732518,306,3003
